case_number,location,total_occupants,total_units,licence_commenced,licence_expires,licence_expires_date,is_active,normalized_address,postcode,house_number,street_name
20/01643/HMOLIC,"61 Catherine Street, OX4 3AH",5.0,5.0,2020-07-08,2025-10-27,2025-10-27,True,"61 Catherine Street, Ox4 3Ah",OX4 3AH,61,Catherine st
20/01893/HMOLIC,"15 Sheepway Court, OX4 4JL",5.0,5.0,2020-08-05,2025-08-04,2025-08-04,True,"15 Sheepway Court, Ox4 4Jl",OX4 4JL,15,Sheepway ct
20/01967/HMOLIC,"45 St Mary's Road, OX4 1PY",8.0,8.0,2020-08-18,2025-09-21,2025-09-21,True,"45 St Mary'S Road, Ox4 1Py",OX4 1PY,45,st Mary'S rd
20/02087/HMOLIC,"45 Gipsy Lane, Headington, OX3 7PT",5.0,5.0,2020-08-22,2025-08-21,2025-08-21,True,"45 Gipsy Lane, Headington, Ox3 7Pt",OX3 7PT,45,Gipsy ln
20/02103/HMOLIC,"9 Barnet Street, OX4 3AN",5.0,,2020-08-09,2025-08-08,2025-08-08,True,"9 Barnet Street, Ox4 3An",OX4 3AN,9,Barnet st
20/02185/HMOLIC,"224 Abingdon Road, OX1 4SP",8.0,,2020-09-24,2025-09-23,2025-09-23,True,"224 Abingdon Road, Ox1 4Sp",OX1 4SP,224,Abingdon rd
20/02300/HMOLIC,"170 Headley Way, OX3 7SZ",5.0,5.0,2020-08-11,2025-08-10,2025-08-10,True,"170 Headley Way, Ox3 7Sz",OX3 7SZ,170,Headley Way
20/02302/HMOLIC,"5 Coolidge Close, OX3 7NP",5.0,,2020-10-19,2025-10-18,2025-10-18,True,"5 Coolidge Close, Ox3 7Np",OX3 7NP,5,Coolidge cl
20/02305/HMOLIC,"60A Lime Walk, OX3 7AE",5.0,,2020-08-30,2025-08-29,2025-08-29,True,"60A Lime Walk, Ox3 7Ae",OX3 7AE,60A,Lime Walk
20/02378/HMOLIC,"222 Abingdon Road, OX1 4SP",7.0,8.0,2020-09-24,2025-09-23,2025-09-23,True,"222 Abingdon Road, Ox1 4Sp",OX1 4SP,222,Abingdon rd
20/02399/HMOLIC,"33 Pegasus Road, OX4 6DS",5.0,,2020-09-21,2025-09-20,2025-09-20,True,"33 Pegasus Road, Ox4 6Ds",OX4 6DS,33,Pegasus rd
20/02565/HMOLIC,"16 Glanville Road, OX4 2DD",5.0,5.0,2020-10-15,2025-10-14,2025-10-14,True,"16 Glanville Road, Ox4 2Dd",OX4 2DD,16,Glanville rd
20/02590/HMOLIC,"188 Sandy Lane, OX4 6LQ",5.0,,2020-10-07,2025-10-06,2025-10-06,True,"188 Sandy Lane, Ox4 6Lq",OX4 6LQ,188,Sandy ln
20/02720/HMOLIC,"100 Bayswater Road, OX3 9NZ",5.0,,2020-10-25,2025-10-24,2025-10-24,True,"100 Bayswater Road, Ox3 9Nz",OX3 9NZ,100,Bayswater rd
20/02747/HMOLIC,"18 Sutton Road, OX3 9RB",5.0,,2020-10-22,2026-01-26,2026-01-26,True,"18 Sutton Road, Ox3 9Rb",OX3 9RB,18,Sutton rd
20/02868/HMOLIC,"71 Hugh Allen Crescent, Marston, OX3 0HL",7.0,,2020-11-22,2025-11-21,2025-11-21,True,"71 Hugh Allen Crescent, Marston, Ox3 0Hl",OX3 0HL,71,Hugh Allen Crescent
20/02884/HMOLIC,"6 Alesworth Grove, OX3 9RD",6.0,5.0,2020-11-12,2025-11-11,2025-11-11,True,"6 Alesworth Grove, Ox3 9Rd",OX3 9RD,6,Alesworth grv
